A. ZARATE GENERAL HOSPITAL	----->Pulanglupa, Las Piñas City
GEN. TRIAS MEDICARE	----->HOSPITAL Pinagtipunan, Gen. Trias, Cavite
GEORGE DEWEY MEDICAL AND	----->WELLNESS CENTER Olongapo City, Zambales
GERONA HOSPITAL OF THE	----->SACRED HEART Abagon, Gerona, Tarlac
GERTES CLINIC AND HOSPITAL	----->Brgy# 15 San Nicolas, Ilocos Norte 10
GIGAQUIT MUNICIPAL HOSPITAL	----->Gigaquit, Surigao del Norte
GIGMOTO DISTRICT HOSPITAL	----->Gigmoto, Catanduanes
GIG. OCA ROBLES SEAMEN'S HOSPITAL	----->R. Castillo St., Davao City
GILBERTO O. TEODORO	----->MEMORIAL HOSPITAL Brgy. Malacampa, Camiling, Tarlac 25
GINES HOSPITAL	----->Roxas St, Cauayan, Isabela
GINGOOG SANITARIUM AND	----->HOSPITAL, INC. Bagaipo St., Gingoog City Misamis Oriental
GLAN MEDICARE COMMUNITY	----->HOSPITAL Glan, Sarangani
GLORIA MEDICARE	----->COMMUNITY HOSPITAL Gloria, Oriental Mindoro
GOLDEN ACRES DOCTOR'S	----->HOSPITAL Talon V, Las Piñas City
GOLDEN GATE GENERAL	----->HOSPITAL Batangas City
GOLINGAY GENERAL HOSPITAL	----->Malalag, Davao del Sur
GONZAGA COMMUNITY CLINIC	----->Gonzaga, Cagayan
GONZALES GENERAL HOSPITAL	----->San Leonardo, Nueva Ecija
GONZALES MARANAN CLINIC	----->AND HOSPITAL Digos City, Davao del Sur
GONZALES MEDICAL AND	----->CHILDRENS HOSPITAL Tanauan City, Batangas
GOOD NEWS CLINIC	----->Banawe, Ifugao
GOV. CELESTINO GALLARES	----->MEMORIAL HOSPITAL Tagbilaran City, Bohol
GOV. FAUSTINO N. DY SR.	----->MEMORIAL HOSPITAL Ilagan, Isabela
GOV. GENEROSO MUNICIPAL	----->HOSPITAL Gov. Generoso, Davao Oriental
GOV. ROQUE B. ABLAN SR.	----->MEMORIAL HOSPITAL P. Gomez, Laoag City Ilocos Norte
GOV. WILLIAM "BILLY" VILLEGAS	----->MEMORIAL HOSPITAL Guihulngan, Negros Oriental
GOV. VALERIANO GATUSLAO	----->MEMORIAL DIST. HOSP. Himamaylan, Negros Occidental
GOZO COMMUNITY HOSPITAL	----->Maranding, Lala, Lanao Del Norte
GRACE CHRISTIAN CLINIC	----->AND HOSPITAL 03 Capitol Road, Surigao City Surigao del Norte
GRACE MEMORIAL HOSPITAL	----->FOUNDATION, INC. (formerly Grace Memorial Maternity and General Hospital) 003 Burol 2nd, Balagtas, Bulacan
GRACE MISSION HOSPITAL	----->Katiningan, Socorro Oriental Mindoro
GREAT SAVIOUR INTERNATIONAL	----->HOSPITAL, INC. Solis St., Tap-oc, Molo, Iloilo City
GREG HOSPITAL - SARIAYA, INC	----->Gen Luna St., Sariaya, Quezon
GREGORIO DEL PILAR	----->DISTRICT HOSPITAL Bagumbayan, Balagtas, Bulacan
GREGORIO T. LLUCH MEMORIAL	----->HOSPITAL Pala-o, Iligan City
GREGORIO MATAS DISTRICT	----->HOSPITAL Kibiawan, Davao del Sur
GUBA COMMUNITY HOSPITAL	----->Guba, Cebu
GUBAT DISTRICT HOSPITAL	----->Gubat, Sorsogon
GUBATAN CLINIC	----->Burol 2nd, Balagtas, Bulacan
GUIMARAS PROVINCIAL	----->HOSPITAL (IPHO) San Miguel Jordan, Guimaras
GUIMBA DISTRICT HOSPITAL	----->Pacac, Guimba, Nueva Ecija
GUIMBA GENERAL HOSPITAL	----->Guimba, Nueva Ecija
GUINAYANGAN MEDICARE	----->COMMUNITY HOSPITAL Guinayangan, Quezon
GUMACA DISTRICT HOSPITAL	----->Gumaca, Quezon
HCGC MEDICAL PLAZA	----->260 San Jose St., Carmona Cavite
H.M. CORACHEA GENERAL	----->HOSPITAL Tanauan City, Batangas
H. VILL HOSPITAL	----->Manggahan, Rodriguez, Rizal
H.W. MILLER MEMORIAL	----->SANITARIUM AND HOSPITAL 400 Tres de Abril St., Cebu City
HEALTH SERVICES LOS BANOS	----->HOSPITAL AND MEDICAL CENTER Los Banos, Laguna
HEART OF JESUS HOSPITAL	----->San Jose City, Nueva Ecija
HERAMIL'S MATERNITY AND	----->CHILDREN'S HOSPITAL Polomolok, South Cotabato
HILONGOS DISTRICT HOSPITAL	----->Hilongos, Northern Leyte
HINATUAN DISTRICT HOSPITAL	----->Hinatuan, Surigao del Sur
HINIGARAN MEDICAL CLINIC	----->Hinigaran, Negros Occidental
HINUNANGAN COMMUNITY HOSPITAL	----->Hinunangan, Southern Leyte
HOFILEÑA HOSPITAL	----->Pagadian City
HOLY CHILD OF BUTUAN HOSPITAL , INC.	----->102 South Drive, Guingona Subd. Agusan del Norte
HOLY CHILD HOSPITAL	----->Dumaguete City, Negros Oriental
HOLY CHILD MATERNITY	----->AND CHILDREN'S CLINIC Ambrosio St., Urdaneta City
HOLY FAMILY HOSPITAL	----->Bongao, Tawi-Tawi
HOLY FAMILY MEDICAL CENTER	----->Sto. Cristo, Angeles City, Pampanga
HOLY INFANT CLINIC	----->Roxas Avenue, Tuguegarao City
HOLYLIFE HEALTHCARE CENTER	----->Pres. Quezon Ave. Lifehomes Subd. Rosario, Pasig City
HOLY NAZARENE CLINIC	----->AND HOSPITAL Valdez St., Kalawag II Isulan, Sultan Kudarat
HOLY ROSARY HOSPITAL	----->San Isidro, Lopez, Quezon
HOLY SPIRIT OF MINTAL CLINIC	----->Sampaguita St., Mintal Davao City
HOLY TRINITY HOSPITAL	----->(former Jose S. Domingo Hosp.) 505 Quezon St. San Miguel, Tarlac City
HOLY TRINITY MEDICAL CLINIC	----->Tabuk, Kalinga
HOLY TRINITY PLAZANG LUMA	----->MEDICAL CLINIC Plazang Luma, Arayat, Pampanga
HOMONHON ISLAND	----->COMMUNITY HOSPITAL Homonhon Island, Eastern Samar
HOSPITAL DE SAN JUAN BAUTISTA	----->Kap Isko Brgy II, Lian, Batangas
HOSPITAL OF THE HOLY CROSS	----->VR Medrano Calapan City Oriental Mindoro
HOSPITAL OF THE INFANT JESUS	----->1556 Laong Laan St. Sampaloc, Manila
HOWARD HUBBARD	----->MEMORIAL HOSPITAL Polomolok, South Cotabato
HUNGDUAN MUNICIPAL HOSPITAL	----->Hungduan, Ifugao
IBAJAY DISTRICT HOSPITAL	----->Ibajay, Aklan
IFUGAO GENERAL HOSPITAL	----->Lagawe, Ifugao
IGNACIO L. ARROYO SR.,	----->MEMORIAL DISTRICT HOSPITAL Burgos St., Isabela Negros Occidental
ILIGAN MEDICAL CENTER HOSPITAL	----->San Miguel Village, Pala-o Iligan City, Lanao Del Norte
ILOCOS MED. AND HEALTH	----->SERVICES COOPERATIVE (ST. THERESE HOSP.) San Lorenzo, Ilocos Norte
ILOCOS SUR COOPERATIVE	----->MEDICAL MISSION GROUP AND HOSPITAL Jose Singson, Vigan City
ILOCOS TRAINING AND	----->REGIONAL MEDICAL CENTER San Fernando City, La Union
ILOILO DOCTOR'S	----->HOSPITAL INC. West Avenue, Molo, Iloilo
ILOILO MISSION HOSPITAL	----->Mission Road, Jaro, Iloilo
ILOILO PROVINCIAL HOSPITAL	----->Pototan, Iloilo
IMMACULATE CONCEPCION	----->CLINIC AND HOSPITAL Guiuan, Eastern Samar
IMMACULATE CONCEPCION	----->HEALTH CENTER Victorias City, Negros Occidental
IMMACULATE CONCEPCION	----->HOSPITAL, INC. San Pablo City
IMMACULATE CONCEPCION	----->MEDICAL CENTER OF CENTRAL LUZON, INC. Circumference Road San Juan, Cabanatuan City Nueva Ecija
IMMACULATE CONCEPCION	----->POLYCLINIC AND HOSPITAL Green Vill., Concepcion, Tarlac
IMMACULATE HEART OF	----->MARY HOSPITAL Raines Virac, Catanduanes
IMUS FAMILY HOSPITAL	----->Justine Ville II Subd., Imus, Cavite
INAPOY COMMUNITY PRIMARY	----->HOSPITAL Mabinay, Negros Oriental
INFANTE HOSPITAL	----->MANAGEMENT CORPORATION Isabela City, Basilan
INTERGRATED CITY HEALTH OFFICE	----->(formerly Palayan City Emergency Hospital) Palayan City, Nueva Ecija
IPIL DOCTORS HOSPITAL	----->Ipil, Sibugay, Zamboanga
IROSIN DISTRICT HOSPITAL	----->Irosin, Sorsogon
ISAAC & CATALINA MED. CENTER	----->Capitol Drive, Balanga City Bataan
ISAAC T. ROBILLO MEMORIAL	----->HOSPITAL Calinan, Davao City
ISABELA DOCTOR'S GEN. HOSP.	----->Baligatan, Ilagan City, Isabela
ISIDRO C. KINTANAR	----->MEMORIAL HOSPITAL Argao, Cebu
ISIDRO M. OLAN SR. MEMORIAL	----->CLINIC AND HOSPITAL Pagantayan, Cantilan Surigao del Sur
ISIP GENERAL HOSPITAL	----->Polangui, Albay
ISULAN DOCTORS SPECIALIST	----->CENTER, INC. National Highway, Isulan Sultan Kudarat
ITBAYAT DISTRICT HOSPITAL	----->Itbayat, Batanes
ITOGON MUNICIPAL HOSPITAL	----->Bagueng Tinogdan, Itogon Benguet
J. CABAHUG HOSPITAL	----->Cabrera St., Pagadian City
J. HAGONOY MEDICAL CLINIC	----->Hagonoy, Davao Del Sur
J. P. SIOSON GENERAL HOSPITAL	----->AND COLLEGES, INC. 75 Bukidnon St., Bago Bantay Quezon City
J.R. BORJA MEMORIAL CITY HOSPITAL	----->Cagayan de Oro City
JVF CLINIC & LYING-IN MEMORIAL HOSPITAL	----->Cor. Rivera Zamora, Dagupan City, Pangasinan
JABONGA MUNICIPAL HOSPITAL	----->Jabonga, Agusan Del Norte
JACALAN HOSPITAL	----->Abadilla Subd., Pob. Tacurong City, Sultan Kudarat
JAIME B.BERCES MEMORIAL	----->HOSPITAL Tabaco City, Albay
JAMELARIN HOSPITAL (formerly	----->Pagadian Community Hospital) Bagong Silang, Balangasan District Pagadian City, Zamboanga del Sur 24
JAMES L. GORDON MEMORIAL	----->HOSPITAL New Asinan, Olongapo City,
JANE COUNTY HOSPITAL	----->C. M. Recto St., Pagbilao, Quezon
JANUARIA MARCIAL	----->MEMORIAL HOSPITAL Banga, South Cotabato
JASAAN MUNICIPAL HOSPITAL	----->(formerly JASAAN HOSPITAL) Jasaan, Misamis Oriental
JAVILLONAR CLINIC AND HOSPITAL	----->73 Dr. Pilapil St., Sagad Street Pasig City
JAVONILLO HOSPITAL	----->Nat'l H-Way, Magsaysay Cordon, Isabela
JECSONS MEDICAL CENTER	----->San Nicolas, Tarlac City
JESUS COLMENARES DISTRICT	----->HOSPITAL (formerly Aleosan District Hospital) Balasan, Iloilo
JESUS IMMACULATE	----->CONCEPCION HOSPITAL Katipunan Avenue Concepcion, Marikina City
JESUS NAZARENE GENERAL HOSPITAL	----->Solis St., Lingayen, Pangasinan
JESUS OF NAZARETH HOSPITAL	----->Guiguinto, Bulacan
JESUS THE GOOD SHEPHERD HOSPITAL	----->National Road, Poblacion Pulilan, Bulacan
JESUS THE SAVIOR HOSPITAL	----->Sto. Angel Central Sta. Cruz, Laguna
JNRAL FAMILY GENERAL HOSPITAL	----->Tanza, Cavite
JOHN PAUL HOSPITAL	----->26 Mariano Ponce cor. Tirad Pass Street, Caloocan City
JONES MEDICARE COMMUNITY	----->HOSPITAL Jones, Isabela
JOSE B. LINGAD MEMORIAL	----->REGIONAL HOSPITAL Dolores, San Fernando City, Pampanga
JOSE C. PAYUMO, JR.	----->MEMORIAL HOSPITAL San Ramon, Dinalupihan, Bataan
JOSE PANGANIBAN PRIMARY	----->SERVICE COOPERATIVE HOSP. Jose Panganiban Camarines Norte
JOSE R. REYES MEMORIAL	----->MEDICAL CENTER Sta. Cruz, Manila
JOSEFINA BELMONTE DURAN	----->MEMORIAL DISTRICT HOSP. Tuburan, Ligao, Albay
JOWELL GENERAL HOSPITAL	----->#1 Coral, Magallenes St. Paniqui, Tarlac
JUAN S. ALANO MEMORIAL	----->HOSPITAL Isabela City, Basilan
JUAN M. ALBERTO MEMORIAL	----->HOSPITAL San Andres, Catanduanes
JUAN B. DOSADO MEMORIAL	----->HOSPITAL Sogod, Cebu
JUAN M. DUYAN DISTRICT HOSPITAL	----->Rizal, Kalinga
JUDGE CELESTINO GUERERO	----->MEMORIAL HOSPITAL Sta. Maria, Ilocos Sur
JULIO CARDINAL ROSALES	----->MEMORIAL HOSPITAL Dalaguete, Cebu
JUSTICE CALIXTO O. ZALDIVAR	----->MEMORIAL HOSPITAL (formerly Gov. Leandro Fullon District Hospital) Pandan, Antique
JUSTICE JOSE ABAD SANTOS	----->MOTHER AND CHILD HOSPITAL Binondo, Manila
KC CALDERON HOSPITAL	----->5001 Gen. T. De Leon 120 Mc Arthur Hi-way, Valenzuela City
KABACAN MEDICAL	----->SPECIALIST HOSPITAL Kabacan, North Cotabato
KABACAN POLYMEDIC	----->COOPERATIVE HOSPITAL Osias. Kabacan, North Cotabato
KABANKALAN CITY HOSPITAL	----->Brgy. Tabugon, Kabankalan City Negros Occidental
KABASALAN FATHFINDER HOSPITAL	----->Kabasalan, Sibugay, Zamboanga
KABASALAN GENERAL HOSPITAL	----->Kabasalan, Zamboanga del Sur
KAIROS MATERNITY AND	----->GENERAL HOSPITAL Muzon, San Jose Del Monte City Bulacan
KALAMANSAG MUNICIPAL STATION	----->Kalamansag, Sultan Kudarat
KALINGA DISTRICT HOSPITAL	----->Lubuagan, Kalinga
KALINGA PROVINCIAL HOSPITAL	----->Bulanao, Tabuk, Kalinga
KALUMBOYAN COMMUNITY	----->PRIMARY HOSPITAL Bayawan, Negros Oriental
KANANGA COMMUNITY HOSPITAL	----->Kananga, Northern Leyte
KAPALONG DISTRICT HOSPITAL	----->Kapalong, Davao del Norte
KAPANGAN MEDICARE	----->COMMUNITY HOSPITAL Kapangan, Benguet
KAPATAGAN DISTRICT	----->HOSPITAL Kapatagan, Lanao Del Sur
KASIBU MUNICIPAL HOSPITAL	----->Kasibu, Nueva Viscaya
KAUSWAGAN PROVINCIAL HOSPITAL	----->Kauswagan, Lanao del Norte
KAWIT KALAYAAN HOSPITAL	----->Kawit, Cavite
KAWIT MATERNITY & GENERAL	----->HOSPITAL Kawit, Cavite
KIAMBA DISTRICT HOSPITAL	----->Kiamba, Saranggani
KIDAPAWAN DOCTORS HOSP., INC.	----->Kidapawan City
KIDAPAWAN CITY HOSPITAL	----->Quezon Blvd., Poblacion, Kidapawan City
KIDAPAWAN MEDICAL	----->SPECIALIST CENTER, INC. Sudapin, Kidapawan City
KISOLON EMERGENCY HOSPITAL	----->Kisolon, Sumilao, Bukidnon
KITCHARAO DISTRICT HOSPITAL	----->Kitcharao, Agusan del Norte
KOLAMBUGAN PROVINCIAL HOSPITAL	----->Kolambugan, Lanao del Norte
KUTA MAJ. SANG-AN STATION HOSPITAL	----->Labangan, Zamboanga Del Sur
L.G. CUTAMORA COMMUNITY HOSPITAL	----->Ubay, Bohol
LA PAZ DISTRICT HOSPITAL	----->La Paz, Abra
LA PAZ MEDICARE AND	----->COMMUNITY HOSPITAL San Roque, La Paz, Tarlac
LA PAZ MUNICIPAL HOSPITAL	----->La Paz, Agusan del Sur
LA UNION MEDICAL DIAGNOSTIC	----->CENTER AND HOSPITAL San Fernando City,La Union
LA UNION MEDICAL CENTER	----->(formerly Doña Gregoria Memorial Hospital) Nazareno, Agoo, La Union
LA VINA GENERAL HOSPITAL, INC.	----->M.L. Quezon St., Pob. Valencia City, Bukidnon
LAAK MUNICIPAL HOSPITAL	----->San Vicente, Compustela Valley
LABASON DIST. HOSPITAL	----->(LILOY MEDICARE HOSPITAL) Liloy, Zamboanga del Norte
LABO DISTRICT HOSPITAL	----->Labo, Camarines Norte
LABRADOR MUNICIPAL HOSPITAL	----->Pob. Labrador, Pangasinan
LABUAN PUBLIC HOSPITAL	----->Labuan, Zamboanga City
LADY OF LOURDES HOSPITAL	----->OF CAYBIGA, INC. 15 Gen. Luis St., Caybiga Caloocan City
LAGUNA DOCTORS HOSPITAL	----->P Guevara St., Sta. Cruz, Laguna
LAGUNA HOLY FAMILY HOSPITAL	----->(formerly HOLY FAMILY CLINIC) Sta. Cruz, Laguna
LAGUNA PROVINCIAL HOSPITAL	----->Sta.Cruz, Laguna
LAHOZ CLINIC AND HOSPITAL	----->Vigan, Ilocos Sur
LAKE SEBU MUNICIPAL HOSPITAL	----->Lake Sebu, South Cotabato
LAMBAYONG DISTRICT HOSPITAL	----->Maligaya, Lambayong, Sultan Kudarat
LANAO DEL NORTE	----->PROVINCIAL HOSPITAL Sagadan Baroy, Lanao Del Norte
LANCETA MEDICAL HOSPITAL	----->Imelda Sibugay, Zamboanga
LANDERO CLINIC AND HOSPITAL	----->Surralah, South Cotabato
LANGUYAN MUNICIPAL HOSPITAL	----->Languyan, Tawi-Tawi
LAOAG CITY GENERAL HOSPITAL	----->46 Brgy. Nalbo Laoag City Ilocos Norte
LAOAG PEDIATRIC HOSPITAL	----->Andres Castro St., Laoag City
LAPU-LAPU CITY HOSPITAL	----->Lapu-Lapu City, Cebu
LARIOSA CLINIC & HOSPITAL	----->Surralah, South Cotabato
LAS NIEVES MUNICIPAL HOSPITAL	----->Pob. Las Nieves, Agusan del Norte
LAS PIÑAS CITY MEDICAL CENTER	----->Talon V, Las Piñas City
LAS PIÑAS DOCTORS HOSP INC.	----->CRM Ave., BF Homes, Almanza Las Piñas CIty LAS PIÑAS GEN. HOSPITAL Pulang Lupa I, Las Piñas City
LASAM DISTRICT HOSPITAL	----->Lasam, Cagayan Valley
LAUREL MEMORIAL DISTRICT	----->HOSPITAL Santor Tanauan, Batangas
LAUREL MUNICIPAL HOSPITAL	----->Brgy. Ticub, Laurel, Batangas
LAZI MEDICARE	----->COMMUNITY HOSPITAL Lazi, Siquijor
LEBAK MEDICARE	----->COMMUNITY HOSPITAL Salaman, Lebak, Sultan Kudarat
LEBAK DOCTOR'S HOSPITAL	----->Rizal Avenue, Lebak Sultan Kudarat
LEBAK FAMILY DOCTORS HOSPITAL	----->Pob. Lebak, Sultan Kudarat
LEMERY DOCTORS' MEDICAL CENTER	----->R. Diokno St., Lemery, Batangas
LEON D. HERNANDEZ	----->MEMORIAL HOSPITAL Daet, Camarines Norte
LEPANTO CONSOLIDATED	----->MINING HOSPITAL Makayan, Benguet
LEONA O. LIM MEMORIAL HOSPITAL	----->Valencia, Bohol
LEONCIO GENERAL HOSPITAL	----->Brgy. Pangobilian, Brooke's Point Palawan
LEONCIO UY MEMORIAL	----->HOSPITAL Catarman, Northern Samar
LEYTE BAPTIST HOSPITAL, INC.	----->Hilongos, Leyte
LEYTE PROVINCIAL HOSPITAL	----->Candahug, Palo, Northern Leyte
LIANGA DISTRICT HOSPITAL	----->Lianga, Surigao del Sur
LIANKO'S MEDICAL CLINIC	----->Malinao, Albay
LIAO'S CLINIC AND HOSPITAL	----->Sawang, Guindulman, Bohol
LIBMANAN DISTRICT HOSPITAL	----->Libmanan, Camarines Sur
LIDE PASAR HOSPITAL	----->Isabel, Leyte
LILOAN COMMUNITY HOSPITAL	----->Liloan, Southern Leyte
LILOY INTEGRATED HEALTH	----->DISTRICT HOSPITAL Liloy, Zamboanga City
LIM COMMUNITY HOSPITAL	----->Jagna, Bohol
LINGIG COMMUNITY HOSPITAL	----->Lingig, Surigao del Sur
LIPA CITY DISTRICT HOSPITAL	----->Lipa City, Batangas
LIPA DOCTOR'S HOSPITAL	----->Rizal St., Lipa City
LIPA MEDIX MEDICAL CENTER	----->Balintawak Lipa City
LIPUNAN HOSPITAL, INC.	----->Gingoog City, Cagayan de Oro City
LITTLE ANGELS MEDICAL	----->HOSPITAL Elustre Ave., Lemery, Batangas
LIWAG MEDICAL CLINIC, INC.	----->A Mayo St., Pob ll, Tiaong, Quezon
LLANOS MEDICAL CLINIC	----->Digos City, Davao del Sur
LLORENTE MUNICIPAL HOSPITAL	----->Llorente, Eastern Samar
LOBO MUNICIPAL HOSPITAL	----->Fabrica Lobo, Batangas
LOPEZ DISTRICT FARMER'S HOSPITAL	----->Sagay City, Western Visayas
LOPEZ FAMILY CLINIC AND HOSPITAL	----->Mangatarem, Pangasinan
LOPEZ ST. JUDE GENERAL	----->HOSPITAL CORP Real St., Lopez, Quezon
LORETO DISTRICT HOSPITAL	----->Loreto, Surigao del Norte
LORETO MUNICIPAL HOSPITAL	----->Loreto, Agusan del Sur
LORMA MEDICAL CENTER	----->Carlatan, San Fernado City La Union
LORENZO D. ZAYCO DISTRICT HOSPITAL	----->Kabankalan City Negros Occidental
LOS BAÑOS DOCTORS HOSPITAL	----->Los Baños, Laguna
LOURDES HOSPITAL	----->Iriga City
LT. TIDANG MEMORIAL HOSPITAL	----->Kayapa, Nueva Viscaya
LU CLINIC AND HOSPITAL	----->National Highway, Tacurong City Sultan Kudarat
LUBANG DISTRICT HOSPITAL	----->Lubang, Occidental Mindoro
LUCAS-PAGUILA MEDICAL CLINIC	----->Magsaysay, Alicia, Isabela
LUCBAN MMG HOSPITAL	----->(formerly Dr. Francisco Faller Memorial Hosp.) Lucban, Quezon
LUCENA MMG GENERAL HOSPITAL	----->Ibabang Dupay Red V, Lucena City, Quezon
LUCENA UNITED DOCTORS HOSPITAL	----->Brgy. Isabang, Lucena City, Quezon
LUDOVICE GENERAL HOSPITAL	----->Daraga, Albay
LUIS HORA MEMORIAL &	----->REGIONAL HOSPITAL Bauko, Mt. Province
LUIS VILLA MEMORIAL HOSPITAL	----->Pob. 3 Clarin, Misamis Occidental
LUISIANA DISTRICT HOSPITAL	----->Luisiana, Laguna
LUMBIS - RANCES GEN. HOSP.	----->Oas, Albay
LUNA GOCO MEDICAL CLINIC	----->Calapan City, Oriental Mindoro
LUNG CENTER OF THE PHILS.	----->Quezon Avenue, Quezon City
LUPON DISTRICT HOSPITAL	----->Lupon, Davao Oriental
LUTHERAN MEDICAL MISSION	----->AND FOUNDATION INC. (former Lutheran Hospital) Baguis, Benguet
LUUK DISTRICT HOSPITAL	----->Luuk, Sulu
LUZ-SIKATUNA COMMUNITY	----->PRIMARY HOSPITAL Guihulngan, Negros Oriental
LUZON MEDICAL CENTER	----->Tapuac District, Dagupan City
LYCEUM OF APARRI HOSPITAL	----->Macanaya, Aparri, Cagayan
M.V. GALLEGO CABANATUAN	----->CITY GENERAL HOSPITAL Maharlika Rd., Cabanatuan City
M. NAPEÑAS MEDICAL CLINIC	----->Sta. Rita, Concepcion, Tarlac
M.V. SANTIAGO MEDICAL CENTER	----->Brgy. De Ocampo Trece Martirez, Cavite
M. SIMON MEDICAL CLINIC	----->Ipil, Zamboanga Sibugay
MCU-FDT MEDICAL	----->FOUNDATION HOSPITAL Edsa, Caloocan City
MMG HOSPITAL AND HEALTH	----->SERVICES COOPERATIVE OF ORIENTAL MINDORO Tawiran, Calapan City, Oriental Mindoro
MMG HOSPITAL AND HEALTH	----->SERVICES COOP. PUERTO PRINCESA CHAPTER #14 Taft St., Puerto Princesa City
MPI-MEDICAL CENTER MUNTINLUPA	----->38 Nat'l Rd. Putatan, Muntinlupa City
MA. ESTRELLA GENERAL HOSPITAL	----->Tawiran Calapan City, Oriental Mindoro
MA. LOURDES MATERNITY HOSPITAL	----->Chino Roces Ave., cor. Solchuaga Makati City
MAASIM MUNICIPAL HOSPITAL	----->Maasim, Sarangani
MABALACAT DISTRICT HOSPITAL	----->Mabalacat, Pampanga
MABINAY MEDICARE	----->CUMMUNITY HOSPITAL Mabinay, NEgros Oriental
MACABEBE DISTRICT HOSPITAL	----->Macabebe, Pampanga
MACTAN DOCTOR'S HOSPITAL	----->Basak, Lapu-Lapu City
MADDELA MUNICIPAL HOSPITAL	----->Maddela, Quirino
MADONNA AND CHILD HOSPITAL	----->Carmen, Cagayan de Oro City
MADONNA GENERAL HOSPITAL	----->Balayan, Batangas
MADONNA GENERAL	----->HOSPITAL, INC. Lanao St., Kidapawan City
MADRID DISTRICT HOSPITAL	----->Madrid, Surigao del Sur
MAGALLANES MEDICARE	----->COMMUNITY HOSPITAL Magallanes, Sorsogon
MAGTABOG GENERAL HOSPITAL	----->(former Gonzales - Advincula Med Clinic) Sta Maria, Davao Del Sur
MAGPOC MATERNITY	----->HOSPITAL, INC. Guiguinto, Bulacan
MAGRINA CLINIC & HOSPITAL	----->Buluan, Maguindanao
MAGSAYSAY MEMORIAL	----->DISTRICT HOSPITAL Lopez, Quezon
MAGSINGAL DISTRICT HOSPITAL	----->Magsingal, Ilocos Sur
MAGUINDANAO PROVINCIAL	----->HOSPITAL Shariff Aguak, Maguindanao
MAHAL NA VIRGEN MARIA	----->STO. ROSARIO DISTRICT HOSPITAL (formerly M.V.M. Sto. Rosario Municipal Hospital) Rosario, Batangas
MAHAYAG DISTRICT HOSPITAL	----->Mahayag, Zamboanga del Sur
MAHESECO MULTI-PURPOSE	----->COOPERATIVE Lakandula St., Poblacion Mariveles, Bataan
MAINIT MEDICARE COMMUNITY	----->HOSPITAL Mainit, Surigao del Norte
MAITUM MUNICIPAL HOSPITAL	----->Maitum, Sarangani
MAJAYJAY MEDICARE HOSPITAL	----->Majayjay, Laguna
MAJOR DANILO ATIENZA	----->AIR BASE HOSPITAL Sangley Point, Cavite
MAKATI MEDICAL CENTER	----->2 Amorsolo St., Makati City
MAKILALA MEDICAL SPECIALIST	----->HOSPITAL, INC. Makilala, North Cotabato
MALASIQUI MUNICIPAL HOSPITAL	----->Malasiqui, Pangasinan
MALATE MEDICAL CLINIC	----->Saypon Highway, Toril Davao City
MALAY MUNICIPAL HOSPITAL	----->Malay, Aklan
MALAYBALAY MEDICAL HOSPITAL	----->Fortichst Brgy.Malaybalay City Bukidnon
MALAYBALAY POLYMEDIC	----->GENERAL HOSPITAL Fortichst, Brgy. Malaybalay City Bukidnon
MALIMONO DISTRICT HOSPITAL	----->Malimono, Surigao del Norte
MALIPAYON DISTRICT HOSPITAL	----->Corcuera, Romblon
MALITA DISTRICT HOSPITAL	----->Malita, Davao del Sur
MALOLOS MATERNITY	----->HOSPITAL & EYE CENTER McArthur H-way, Malolos, Bulacan
MALOLOS SAN ILDEFONSO	----->COUNTY HOSPITAL Brgy. Canalate, Malolos, Bulacan
MALTA MEDICAL CENTER	----->Toril, Davao City
MALUNGON MUNICIPAL HOSPITAL	----->Malungon, Sarangani
MAMBUSAO DISTRICT HOSPITAL	----->Mambusao, Capiz
MANABAT MATERNITY AND	----->GENERAL HOSPITAL San Matias, Sto. Tomas, Pampanga
MANANGAN CLINIC AND HOSPITAL	----->Buluan, Maguindanao
MANANGO HOSPITAL	----->Nat'l. Hi-way, San Antonio Alicia, Isabela
MANAOAG COMMUNITY HOSPITAL	----->Manaoag, Pangasinan
MANAY DISTRICT HOSPITAL	----->Sta. Maria, Manay Davao Oriental
MANDALUYONG CITY	----->MEDICAL CENTER Boni Avenue, Mandaluyong City
MANDAON MEDICARE	----->COMMUNITY HOSPITAL Mandaon, Masbate
MANGATAREM DISTRICT HOSP.	----->Mangatarem, Pangasinan
MANILA ADVENTIST MEDICAL	----->CENTER AND SCHOOL OF MEDICAL ARTS INC. 1975Donada St.,Pasay City
MANILA DOCTOR'S HOSPITAL	----->667 UN Avenue, Ermita, Manila
MANILA EAST MEDICAL CENTER	----->Manila East Rd., Bgy. Dolores Taytay, Rizal
MANILA NAVAL HOSPITAL	----->Fort Bonifacio, Taguig City
MANITO MUNICIPAL HOSPITAL	----->Manito, Albay
MANSALAY MEDICARE HOSPITAL	----->Mansalay, Oriental Mindoro
MANUEL HOSPITAL	----->Lanao St., Kidapawan City
MANUEL A. ROXAS DISTRICT HOSPITAL	----->Roxas, Isabela
MANUEL J. SANTOS HOSPITAL	----->Montillana Blvd., Butuan City
MANUKAN MEDICARE	----->COMMUNITYHOSPITAL Manukan, Zamboanga del Norte
MAPANDAN MUNICIPAL HOSPITAL	----->Mapandan, Pangasinan
